架构,优化级别,矩阵大小,算法,执行时间(秒)
arm64,O3,3600,算法1_展开,0.209323
arm64,O3,3600,算法2,0.064455
arm64,O3,3600,算法2_展开,0.062139
arm64,O3,3700,算法1,0.257766
arm64,O3,3700,算法1_展开,0.221541
arm64,O3,3700,算法2,0.067073
arm64,O3,3700,算法2_展开,0.065531
arm64,O3,3800,算法1,0.269326
arm64,O3,3800,算法1_展开,0.228888
arm64,O3,3800,算法2,0.070537
arm64,O3,3800,算法2_展开,0.067913
arm64,O3,3900,算法1,0.537616
arm64,O3,3900,算法1_展开,0.235633
arm64,O3,3900,算法2,0.074654
arm64,O3,3900,算法2_展开,0.071689
arm64,O3,4000,算法1,0.322943
arm64,O3,4000,算法1_展开,0.261538
arm64,O3,4000,算法2,0.078536
arm64,O3,4000,算法2_展开,0.075372
arm64,O3_native,100,算法1,0.000087
arm64,O3_native,100,算法1_展开,0.000069
arm64,O3_native,100,算法2,0.000065
arm64,O3_native,100,算法2_展开,0.000062
arm64,O3_native,200,算法1,0.000252
arm64,O3_native,200,算法1_展开,0.000230
arm64,O3_native,200,算法2,0.000196
arm64,O3_native,200,算法2_展开,0.000204
arm64,O3_native,300,算法1,0.000610
arm64,O3_native,300,算法1_展开,0.000532
arm64,O3_native,300,算法2,0.000465
arm64,O3_native,300,算法2_展开,0.000437
arm64,O3_native,400,算法1,0.001034
arm64,O3_native,400,算法1_展开,0.000868
arm64,O3_native,400,算法2,0.000783
arm64,O3_native,400,算法2_展开,0.000868
arm64,O3_native,500,算法1,0.001727
arm64,O3_native,500,算法1_展开,0.001780
arm64,O3_native,500,算法2,0.001212
arm64,O3_native,500,算法2_展开,0.001239
arm64,O3_native,600,算法1,0.002876
arm64,O3_native,600,算法1_展开,0.002654
arm64,O3_native,600,算法2,0.001735
arm64,O3_native,600,算法2_展开,0.001810
arm64,O3_native,700,算法1,0.006403
arm64,O3_native,700,算法1_展开,0.005339
arm64,O3_native,700,算法2,0.002368
arm64,O3_native,700,算法2_展开,0.002315
arm64,O3_native,800,算法1,0.008933
arm64,O3_native,800,算法1_展开,0.008163
arm64,O3_native,800,算法2,0.003150
arm64,O3_native,800,算法2_展开,0.003261
arm64,O3_native,900,算法1,0.010742
arm64,O3_native,900,算法1_展开,0.010310
arm64,O3_native,900,算法2,0.004043
arm64,O3_native,900,算法2_展开,0.003819
arm64,O3_native,1000,算法1,0.013426
