架构,优化级别,矩阵大小,算法,执行时间(秒)
x86_64,O2,1500,算法1_展开,0.004996
x86_64,O2,1500,算法2,0.001635
x86_64,O2,1500,算法2_展开,0.001398
x86_64,O2,1600,算法1,0.005716
x86_64,O2,1600,算法1_展开,0.005554
x86_64,O2,1600,算法2,0.001902
x86_64,O2,1600,算法2_展开,0.001669
x86_64,O2,1700,算法1,0.005826
x86_64,O2,1700,算法1_展开,0.006117
x86_64,O2,1700,算法2,0.002236
x86_64,O2,1700,算法2_展开,0.001835
x86_64,O2,1800,算法1,0.006821
x86_64,O2,1800,算法1_展开,0.007086
x86_64,O2,1800,算法2,0.002406
x86_64,O2,1800,算法2_展开,0.002403
x86_64,O2,1900,算法1,0.008070
x86_64,O2,1900,算法1_展开,0.009306
x86_64,O2,1900,算法2,0.003045
x86_64,O2,1900,算法2_展开,0.002727
x86_64,O2,2000,算法1,0.011960
x86_64,O2,2000,算法1_展开,0.011955
x86_64,O2,2000,算法2,0.003312
x86_64,O2,2000,算法2_展开,0.002547
x86_64,O2,2100,算法1,0.011437
x86_64,O2,2100,算法1_展开,0.011650
x86_64,O2,2100,算法2,0.003647
x86_64,O2,2100,算法2_展开,0.003010
x86_64,O2,2200,算法1,0.015049
x86_64,O2,2200,算法1_展开,0.015812
x86_64,O2,2200,算法2,0.004085
x86_64,O2,2200,算法2_展开,0.003508
x86_64,O2,2300,算法1,0.016530
x86_64,O2,2300,算法1_展开,0.017900
x86_64,O2,2300,算法2,0.004597
x86_64,O2,2300,算法2_展开,0.004142
x86_64,O2,2400,算法1,0.019128
x86_64,O2,2400,算法1_展开,0.019998
x86_64,O2,2400,算法2,0.004508
x86_64,O2,2400,算法2_展开,0.003902
x86_64,O2,2500,算法1,0.021707
x86_64,O2,2500,算法1_展开,0.023012
x86_64,O2,2500,算法2,0.005137
x86_64,O2,2500,算法2_展开,0.004452
x86_64,O2,2600,算法1,0.023092
x86_64,O2,2600,算法1_展开,0.024826
x86_64,O2,2600,算法2,0.005558
x86_64,O2,2600,算法2_展开,0.004476
x86_64,O2,2700,算法1,0.026856
x86_64,O2,2700,算法1_展开,0.028216
x86_64,O2,2700,算法2,0.005718
x86_64,O2,2700,算法2_展开,0.004853
x86_64,O2,2800,算法1,0.029236
x86_64,O2,2800,算法1_展开,0.031304
x86_64,O2,2800,算法2,0.006313
x86_64,O2,2800,算法2_展开,0.005236
x86_64,O2,2900,算法1,0.030373
x86_64,O2,2900,算法1_展开,0.032515
x86_64,O2,2900,算法2,0.006979
x86_64,O2,2900,算法2_展开,0.005377
x86_64,O2,3000,算法1,0.032233
x86_64,O2,3000,算法1_展开,0.308022
x86_64,O2,3000,算法2,0.007147
x86_64,O2,3000,算法2_展开,0.005971
x86_64,O2,3100,算法1,0.037588
x86_64,O2,3100,算法1_展开,0.038803
x86_64,O2,3100,算法2,0.008089
x86_64,O2,3100,算法2_展开,0.006285
x86_64,O2,3200,算法1,0.041069
x86_64,O2,3200,算法1_展开,0.043494
x86_64,O2,3200,算法2,0.008724
x86_64,O2,3200,算法2_展开,0.006755
x86_64,O2,3300,算法1,0.043003
x86_64,O2,3300,算法1_展开,0.045213
x86_64,O2,3300,算法2,0.008844
x86_64,O2,3300,算法2_展开,0.007492
x86_64,O2,3400,算法1,0.048070
x86_64,O2,3400,算法1_展开,0.049785
x86_64,O2,3400,算法2,0.008770
x86_64,O2,3400,算法2_展开,0.007756
x86_64,O2,3500,算法1,0.050512
x86_64,O2,3500,算法1_展开,0.053431
x86_64,O2,3500,算法2,0.010462
x86_64,O2,3500,算法2_展开,0.008551
x86_64,O2,3600,算法1,0.054147
x86_64,O2,3600,算法1_展开,0.057606
x86_64,O2,3600,算法2,0.010514
x86_64,O2,3600,算法2_展开,0.008964
x86_64,O2,3700,算法1,0.058950
x86_64,O2,3700,算法1_展开,0.061341
x86_64,O2,3700,算法2,0.010996
x86_64,O2,3700,算法2_展开,0.009490
x86_64,O2,3800,算法1,0.060655
x86_64,O2,3800,算法1_展开,0.064092
x86_64,O2,3800,算法2,0.010332
x86_64,O2,3800,算法2_展开,0.009346
x86_64,O2,3900,算法1,0.064366
x86_64,O2,3900,算法1_展开,0.067534
x86_64,O2,3900,算法2,0.011611
x86_64,O2,3900,算法2_展开,0.010019
x86_64,O2,4000,算法1,0.068147
x86_64,O2,4000,算法1_展开,0.070483
x86_64,O2,4000,算法2,0.012273
x86_64,O2,4000,算法2_展开,0.010418
x86_64,O3,100,算法1,0.000004
x86_64,O3,100,算法1_展开,0.000003
x86_64,O3,100,算法2,0.000002
x86_64,O3,100,算法2_展开,0.000001
x86_64,O3,200,算法1,0.000016
x86_64,O3,200,算法1_展开,0.000015
x86_64,O3,200,算法2,0.000007
x86_64,O3,200,算法2_展开,0.000006
x86_64,O3,300,算法1,0.000044
x86_64,O3,300,算法1_展开,0.000038
x86_64,O3,300,算法2,0.000016
x86_64,O3,300,算法2_展开,0.000014
x86_64,O3,400,算法1,0.000101
x86_64,O3,400,算法1_展开,0.000068
x86_64,O3,400,算法2,0.000026
x86_64,O3,400,算法2_展开,0.000024
x86_64,O3,500,算法1,0.000170
x86_64,O3,500,算法1_展开,0.000152
x86_64,O3,500,算法2,0.000041
x86_64,O3,500,算法2_展开,0.000040
x86_64,O3,600,算法1,0.000265
x86_64,O3,600,算法1_展开,0.000235
x86_64,O3,600,算法2,0.000069
x86_64,O3,600,算法2_展开,0.000060
x86_64,O3,700,算法1,0.000451
x86_64,O3,700,算法1_展开,0.000327
x86_64,O3,700,算法2,0.000105
x86_64,O3,700,算法2_展开,0.000081
x86_64,O3,800,算法1,0.000743
x86_64,O3,800,算法1_展开,0.000501
x86_64,O3,800,算法2,0.000107
x86_64,O3,800,算法2_展开,0.000104
x86_64,O3,900,算法1,0.001104
x86_64,O3,900,算法1_展开,0.000729
x86_64,O3,900,算法2,0.000328
x86_64,O3,900,算法2_展开,0.000161
x86_64,O3,1000,算法1,0.001638
x86_64,O3,1000,算法1_展开,0.001363
x86_64,O3,1000,算法2,0.000320
x86_64,O3,1000,算法2_展开,0.000312
x86_64,O3,1100,算法1,0.002362
x86_64,O3,1100,算法1_展开,0.001690
x86_64,O3,1100,算法2,0.000359
x86_64,O3,1100,算法2_展开,0.000478
x86_64,O3,1200,算法1,0.002779
x86_64,O3,1200,算法1_展开,0.002340
x86_64,O3,1200,算法2,0.000619
x86_64,O3,1200,算法2_展开,0.000501
x86_64,O3,1300,算法1,0.003477
x86_64,O3,1300,算法1_展开,0.003132
x86_64,O3,1300,算法2,0.001009
x86_64,O3,1300,算法2_展开,0.000913
x86_64,O3,1400,算法1,0.005038
x86_64,O3,1400,算法1_展开,0.003757
x86_64,O3,1400,算法2,0.001084
x86_64,O3,1400,算法2_展开,0.001263
x86_64,O3,1500,算法1,0.004714
x86_64,O3,1500,算法1_展开,0.004954
x86_64,O3,1500,算法2,0.001256
x86_64,O3,1500,算法2_展开,0.001136
x86_64,O3,1600,算法1,0.005282
x86_64,O3,1600,算法1_展开,0.005729
x86_64,O3,1600,算法2,0.001643
x86_64,O3,1600,算法2_展开,0.001331
x86_64,O3,1700,算法1,0.005964
x86_64,O3,1700,算法1_展开,0.006588
x86_64,O3,1700,算法2,0.001718
x86_64,O3,1700,算法2_展开,0.001717
x86_64,O3,1800,算法1,0.006836
